# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 100
# Stop time: 15000.0
# Number of independent replications: 10
# Start time: 0.0
# Model Parameters
# Run time = 0.3619999885559082
# Time, "A@C1", "A@C2", "A@C3", "A@C4", "B@C1", "B@C2", "B@C3", "B@C4", "D@C1", "D@C2", "D@C3", "D@C4"
9242.424242424242, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.0, 24.0, 22.700000000000003, 27.3
9393.939393939392, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.200000000000003, 25.3, 27.1, 23.400000000000002
9545.454545454544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.400000000000002, 24.8, 26.5, 26.3
9696.969696969696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.700000000000003, 23.6, 23.900000000000002, 27.8
9848.484848484848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.700000000000003, 26.200000000000003, 24.0, 26.1
10000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.700000000000003, 24.200000000000003, 27.700000000000003, 25.400000000000002
10151.51515151515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.6, 27.0, 26.1, 26.3
10303.030303030302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.3, 25.0, 25.200000000000003, 26.5
10454.545454545454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.200000000000003, 20.900000000000002, 29.0, 26.900000000000002
10606.060606060604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.200000000000003, 23.6, 27.400000000000002, 25.8
10757.575757575756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.3, 26.6, 24.200000000000003, 23.900000000000002
10909.090909090908, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.400000000000002, 23.400000000000002, 25.200000000000003, 24.0
11060.60606060606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.400000000000002, 24.0, 25.900000000000002, 24.700000000000003
11212.121212121212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.200000000000003, 26.1, 24.3, 25.400000000000002
11363.636363636362, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.1, 25.900000000000002, 24.1, 23.900000000000002
11515.151515151514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.3, 25.400000000000002, 24.400000000000002, 23.900000000000002
11666.666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.1, 22.700000000000003, 23.700000000000003, 25.5
11818.181818181816, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.6, 24.400000000000002, 25.700000000000003, 23.3
11969.696969696968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.3, 24.1, 22.400000000000002, 26.200000000000003
12121.21212121212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.8, 25.0, 26.5, 24.700000000000003
12272.727272727272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.1, 24.1, 26.5, 24.3
12424.242424242424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.6, 23.900000000000002, 22.700000000000003, 26.8
12575.757575757574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.400000000000002, 23.900000000000002, 25.700000000000003, 26.0
12727.272727272726, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.400000000000002, 25.400000000000002, 24.3, 26.900000000000002
12878.787878787878, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.6, 25.200000000000003, 25.3, 25.900000000000002
13030.303030303028, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.1, 26.900000000000002, 22.5, 26.5
13181.81818181818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.1, 23.3, 25.1, 26.5
13333.333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.5, 23.6, 25.5, 27.400000000000002
13484.848484848484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.900000000000002, 24.400000000000002, 23.0, 25.700000000000003
13636.363636363636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 24.400000000000002, 26.1, 26.5
13787.878787878786, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.6, 25.6, 26.200000000000003, 23.6
13939.393939393938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.6, 25.5, 27.6, 20.3
14090.90909090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.700000000000003, 22.6, 25.8, 24.900000000000002
14242.42424242424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.3, 27.1, 24.3, 24.3
14393.939393939392, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.3, 27.200000000000003, 24.400000000000002, 26.1
14545.454545454544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.400000000000002, 25.3, 23.200000000000003, 26.1
14696.969696969696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.3, 25.900000000000002, 25.200000000000003, 24.6
14848.484848484848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.900000000000002, 24.200000000000003, 24.0, 25.900000000000002
14999.999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.1, 26.0, 23.700000000000003, 25.200000000000003
